              precision    recall  f1-score   support

        none       1.00      1.00      1.00    181542
 start of AT       1.00      1.00      1.00      9359
  mark of AT       1.00      0.98      0.99      3795

    accuracy                           1.00    194696
   macro avg       1.00      0.99      0.99    194696
weighted avg       1.00      1.00      1.00    194696

