              precision    recall  f1-score   support

        none       1.00      1.00      1.00    183800
 start of AT       0.99      0.99      0.99      9359
  mark of AT       0.99      0.98      0.99      3795

    accuracy                           1.00    196954
   macro avg       1.00      0.99      0.99    196954
weighted avg       1.00      1.00      1.00    196954

