              precision    recall  f1-score   support

        none       1.00      1.00      1.00    184426
 start of AT       1.00      1.00      1.00      9359
  mark of AT       0.99      0.99      0.99      3795

    accuracy                           1.00    197580
   macro avg       0.99      0.99      0.99    197580
weighted avg       1.00      1.00      1.00    197580

