              precision    recall  f1-score   support

    negative       0.99      0.99      0.99       991
     neutral       0.99      0.99      0.99       577
    positive       1.00      1.00      1.00      2034

    accuracy                           0.99      3602
   macro avg       0.99      0.99      0.99      3602
weighted avg       0.99      0.99      0.99      3602

